iter	Logloss
0	0.689664172311	0.685792891522	0.681941763833	0.67761944544	0.6743430457
5	0.6717007719
6	0.668181359
7	0.6650085119
8	0.6612821382
9	0.6577054635
10	0.655201677
11	0.6516580571
12	0.648505363
13	0.6450470599
14	0.6416628484
15	0.6385631303
16	0.6353231724
17	0.6321224559
18	0.6291994986
119	0.6229877864220	0.6196161584221	0.6168282976222	0.6134251294223	0.6101085528224	0.6070375831225	0.6038572328226	0.6005860882227	0.5976768986
28	0.594916811
29	0.5921157655
30	0.5897701194
31	0.5878954574
32	0.5851757247
33	0.5833491295
34	0.5815192369
35	0.5793266893
36	0.5769048352
37	0.5743943782
38	0.5719142297
39	0.569374844
40	0.5675358935
41	0.565178456
42	0.5634128339
43	0.5614081526
44	0.5593951302
45	0.5573680351
46	0.5605861656
47	0.5587401534
48	0.5574184492
49	0.5547364352
50	0.5525794972
51	0.5508471781
52	0.5493266184
53	0.5478400521
54	0.5457781735
55	0.5442839164556	0.5424105535557	0.5403460619558	0.5384026521559	0.5364860028660	0.5345103342661	0.5324759198662	0.5303772574663	0.5293022932664	0.5280352138665	0.5263160158666	0.5250283725667	0.5235590984668	0.5220770789669	0.5207714454770	0.5196658577771	0.517905647672	0.5092763554
73	0.5076514442
74	0.5063811642
75	0.5053108632
76	0.5037541474
77	0.5023820565778	0.5007920332779	0.4992888933880	0.4980111822881	0.4971948611882	0.4960367198383	0.4942258948484	0.4925795298585	0.4916077038686	0.4903148518787	0.4890115388	88	0.4879326289	89	0.4870411090	90	0.4857983491	91	0.4845066092	92	0.4829566893	93	0.4816630094	94	0.4808949295	95	0.4796860396	96	0.4784290897	0.4854815095
98	0.4842953131
99	99	0.47535627100100	0.47434294101101	0.4731317102	102	0.4724395103	103	0.4711770104	104	0.4704700105	105	0.4689942106	106	0.4682097107	107	0.4674081108	108	0.4660107109	109	0.4651740110	110	0.4643904111	111	0.4636664112	112	0.4627942113	113	0.4619581114	114	0.4614210115	115	0.4605496116	116	0.4599212117117	0.45951218118118	0.45872229119119	0.4577357120	120	0.4572944121	121	0.4563516122	122	0.4551604123	123	0.4539198124	124	0.4528022125	0.463661557
126	0.4631873379
127	0.4620891285
128	0.4609102452
129	0.4602896217
130	0.4598259129
131	0.4593203071
132	0.4583645747
133	0.4573863518
134	0.4565332805
135	0.4559224887
136	0.4554241904
137	0.454922321
138	0.4542171074
139	0.4537842189
140	0.4530362864
141	0.4522845229
142	0.4514411433
143	0.4509309974
144	0.4504833742
145	0.4498195216
146	0.4489461091
147	0.4484752989
148	0.4479244841
149	0.4470395141
150	0.4464793576
151	0.4459316505
152	0.4458457328
153	0.4451975216
154	0.4447995544
155	0.4442277361
156	0.4437212465
157	0.4428384059
158	0.4424620587
159	0.4418363578
160	0.4411199667
161	0.4405923945
162	0.4400281932
163	0.4393760906
164	0.4384527201
165	0.4382188665
166	0.4380478127
167	0.437597727
168	0.437302406
169	0.436973519
170	0.4367832043
171	0.4364207813
172	0.4362174317
173	0.4355861351
174	0.4351497076
175	0.43477948
176	0.4344004111
177	0.4339025718
178	0.4332446212
179	0.4326576755
180	0.4322645466
181	0.4316320547
182	0.4311974524
183	0.4308887538
184	0.430527107
185	0.43027747
186	0.4299775005
187	0.4294981345
188	0.4289667844
189	0.4283886496
190	0.4277364095
191	0.4276102213
192	0.427086046
193	0.4267971358
194	0.4265687781
195	0.4262417166
196	0.4258803909
197	0.4253989427
198	0.4249981838
199	0.4245669643
200	0.4239205009
201	0.4235405371
202	0.4229095136
203	0.4224949482
204	0.4222606326
205	0.4219399636
206	0.4214990029
207	0.4210798774
208	0.4206339824
209	0.420270164
210	0.419816409
211	0.4195102748
212	0.4190581241
213	0.4186581115
214	0.4183097119
215	0.4179536752
216	0.4176468058
217	0.4172338795
218	0.4169238372
219	0.4166829364
220	0.4164773144
221	0.4161056791
222	0.4155848161
223	0.4152303979
224	0.4148498425
225	0.4142514428
226	0.4141588045
227	0.414005567
228	0.4136076345
229	0.4131347197
230	0.4127538709
231	0.4124354162
232	0.4120835027
233	0.4118610222
234	0.411451773
235	0.4111226108
236	0.4107583603
237	0.4106173944
238	0.4100298227
239	0.4098160255
240	0.4092312293
241	0.4091537405
242	0.4090181054
243	0.4086535334
244	0.4083584892
245	0.4079309223
246	0.4078055426
247	0.4074396333
248	0.407279002
249	0.407012671
250	0.406693476
251	0.4064134208
252	0.4060492913
253	0.4058662647
254	0.4053833469
255	0.4050440679
256	0.4047296422
257	0.404348141
258	0.4041724676
259	0.4040014115
260	0.4034525385
261	0.4030423105
262	0.402842969
263	0.4025644034
264	0.4019809984
265	0.4016045533
266	0.4012609719
267	0.4011848772
268	0.4008310732
269	0.4002079069
270	0.3999010317
271	0.3996128461
272	0.399408564
273	0.3990974124
274	0.398939835
275	0.39850116
276	0.3983161062
277	0.3981308119
278	0.3979649872
279	0.3977811625
280	0.3975271718
281	0.3973232215
282	0.3971627227
283	0.3968345667
284	0.3966287163
285	0.3963406329
286	0.3960525992
287	0.3959160601
288	0.3956561556
289	0.3954143156
290	0.3949846336
291	0.3947329706
292	0.3946907166
293	0.3945235069
294	0.3942346504
295	0.3940875302
296	0.3937921881
297	0.3936626052
298	0.3933840677
299	0.3931323865
300	0.392865435
301	0.3925678158
302	0.3923719172
303	0.3921011069
304	0.3919807264
305	0.3916007469
306	0.3914527231
307	0.3912597347
308	0.390951629
309	0.3906432319
310	0.3905227253
311	0.3902550702
312	0.3900756267
313	0.3897701136
314	0.3895691508
315	0.3893464142
316	0.389246921
317	0.3887971828
318	0.3885489457
319	0.3883504505
320	0.3881717747
321	0.3880216673
322	0.3877181249
323	0.3875860866
324	0.3874008109
325	0.3871585889
326	0.387001282
327	0.386776573
328	0.3866645007
329	0.3863641272
330	0.3862849114
331	0.3859696698
332	0.385750992
333	0.3854200699
334	0.3851902442
335	0.38482085
336	0.384624102
337	0.384513481
338	0.3842812097
339	0.3840681066
340	0.3838411226
341	0.3837205731
342	0.3834994967
343	0.3832215837
344	0.3829430797
345	0.3828441466
346	0.382563092
347	0.3822880508
348	0.3821241725
349	0.3820621168
350	0.3818731791
351	0.3816607169
352	0.3814146899
353	0.3811444271
354	0.3810043815
355	0.3807481089
356	0.3806494935
357	0.3803596697
358	0.380136962
359	0.3797534384
360	0.3796957096
361	0.3796018958
362	0.379458913
363	0.3793710802
364	0.37914768
365	0.3788033053
366	0.3786588852
367	0.3785184394
368	0.3783594112
369	0.3782475342
370	0.3780506939
371	0.3779306531
372	0.3777622464
373	0.377645223
374	0.3774791058
375	0.3773573217
376	0.377068472
377	0.376918532
378	0.3766015801
379	0.376535471
380	0.3763763915
381	0.3761900519
382	0.3760406207
383	0.3758523965
384	0.3756050304
385	0.3754358234
386	0.3752203174
387	0.3750589617
388	0.374955449
389	0.3747303023
390	0.3746207938
391	0.3743827627
392	0.3742964067
393	0.3742127433
394	0.3741346634
395	0.3739211741
396	0.3737325657
397	0.373731255
398	0.3733764489
399	0.3731122311
400	0.3728825768
401	0.3726310658
402	0.3726107794
403	0.3723739563
404	0.3722241351
405	0.3721709472
406	0.3719021015
407	0.3716554426
408	0.371451506
409	0.3712561692
410	0.3711770738
411	0.3711218759
412	0.3706469224
413	0.3704767122
414	0.3702696213
415	0.3701194319
416	0.3697906457
417	0.3696436656
418	0.3695409493
419	0.3692554199
420	0.3691825599
421	0.3690459336
422	0.3688134369
423	0.3686044396
424	0.3683787151
425	0.3681976288
426	0.368021084
427	0.3678152891
428	0.367627197
429	0.3674859101
430	0.3674212426
431	0.3672029004
432	0.3670747254
433	0.3669913183
434	0.3667688096
435	0.3665293741
436	0.3664303277
437	0.366107283
438	0.3659795791
439	0.3657632054
440	0.3655842917
441	0.3655703959
442	0.3653685333
443	0.3652340749
444	0.3650603585
445	0.3648298157
446	0.3647288318
447	0.3645948583
448	0.3644867202
449	0.3643887554
450	0.3642864781
451	0.3641188515
452	0.3638294076
453	0.3636924287
454	0.3635024776
455	0.3632538335
456	0.3630579113
457	0.3628889345
458	0.3627266597
459	0.3625142879
460	0.3624619041
461	0.3623642174
